USD,EURO,MLC,Fecha
670,770,424,2026-07-20 04:00
670,770,424,2026-07-20 03:00
670,770,424,2026-07-20 02:00
670,770,424,2026-07-20 01:00
670,770,424,2026-07-20 00:00
670,770,424,2026-07-19 23:00
670,772,425,2026-07-19 22:00
670,772,426,2026-07-19 21:00
670,766,426,2026-07-19 20:00
670,766,426,2026-07-19 19:00
670,770,427,2026-07-19 18:00
670,770,427,2026-07-19 17:00
670,770,427,2026-07-19 16:00
670,770,427,2026-07-19 15:00
670,770,427,2026-07-19 14:00
670,770,427,2026-07-19 13:00
665,770,427,2026-07-19 12:00
665,770,430,2026-07-19 11:00
665,770,426,2026-07-19 10:00
665,770,429,2026-07-19 09:00
665,770,429,2026-07-19 08:00
665,770,429,2026-07-19 07:00
665,770,429,2026-07-19 06:00
665,770,429,2026-07-19 05:00
665,770,429,2026-07-19 04:00
665,770,429,2026-07-19 03:00
665,770,428,2026-07-19 02:00
665,770,428,2026-07-19 01:00
665,770,429,2026-07-19 00:00
665,770,429,2026-07-18 23:00
665,770,431,2026-07-18 22:00
665,770,429,2026-07-18 21:00
665,770,430,2026-07-18 20:00
665,770,430,2026-07-18 19:00
665,770,432,2026-07-18 18:00
665,770,432,2026-07-18 17:00
665,770,429,2026-07-18 16:00
665,762,429,2026-07-18 15:00
665,770,421,2026-07-18 14:00
665,770,421,2026-07-18 13:00
665,770,429,2026-07-18 12:00
665,770,429,2026-07-18 11:00
665,770,432,2026-07-18 10:00
660,770,433,2026-07-18 09:00
660,770,430,2026-07-18 08:00
660,770,429,2026-07-18 07:00
660,770,428,2026-07-18 06:00
660,770,428,2026-07-18 05:00
660,770,428,2026-07-18 04:00
660,770,428,2026-07-18 03:00
660,770,427,2026-07-18 02:00
660,770,427,2026-07-18 01:00
660,770,429,2026-07-18 00:00
660,770,428,2026-07-17 23:00
660,770,433,2026-07-17 22:00
660,770,434,2026-07-17 21:00
660,770,433,2026-07-17 20:00
660,770,435,2026-07-17 19:00
660,770,434,2026-07-17 18:00
660,770,434,2026-07-17 17:00
660,765,433,2026-07-17 16:00
660,760,429,2026-07-17 15:00
660,760,429,2026-07-17 14:00
660,760,429,2026-07-17 13:00
660,760,428,2026-07-17 12:00
660,760,438,2026-07-17 11:00
660,760,440,2026-07-17 10:00
660,760,437,2026-07-17 09:00
660,760,438,2026-07-17 08:00
660,760,441,2026-07-17 07:00
660,760,437,2026-07-17 06:00
660,760,437,2026-07-17 05:00
660,760,434,2026-07-17 04:00
660,760,434,2026-07-17 03:00
660,760,434,2026-07-17 02:00
660,760,434,2026-07-17 01:00
660,760,436,2026-07-17 00:00
660,760,436,2026-07-16 23:00
660,760,436,2026-07-16 22:00
660,760,438,2026-07-16 21:00
